"long" "lat"
"632" -53.955894470215 -19.1097078182403
"633" -52.955894470215 -19.1097078182403
"634" -53.955894470215 -18.1097078183936
"635" -52.955894470215 -18.1097078183936
"636" -57.664118661162 -19.1957928920615
"639" -57.9053263695584 -17.0473460566412
"640" -58.9496616477761 -15.9555127276097
"641" -57.9394727317941 -16.0979636856593
"642" -55.955894470215 -18.1097078183936
"643" -54.955894470215 -18.1097078183936
"644" -56.955894470215 -17.1097078186202
"645" -55.955894470215 -17.1097078186202
"646" -54.955894470215 -17.1097078186202
"647" -55.955894470215 -16.1097078189213
"648" -54.955894470215 -16.1097078189213
"649" -55.955894470215 -15.1097078192973
"650" -54.955894470215 -15.1097078192973
"651" -55.955894470215 -14.109707819748
"652" -53.955894470215 -17.1097078186202
"653" -52.955894470215 -17.1097078186202
"654" -53.955894470215 -16.1097078189213
"655" -52.955894470215 -16.1097078189213
"656" -51.955894470215 -16.1097078189213
"657" -53.955894470215 -15.1097078192973
"658" -52.955894470215 -15.1097078192973
"659" -51.955894470215 -15.1097078192973
"660" -53.955894470215 -14.109707819748
"661" -52.955894470215 -14.109707819748
"662" -56.955894470215 -16.1097078189213
"663" -58.955894470215 -15.1097078192973
"664" -57.955894470215 -15.1097078192973
"665" -56.955894470215 -15.1097078192973
"666" -58.955894470215 -14.109707819748
"667" -57.955894470215 -14.109707819748
"668" -56.955894470215 -14.109707819748
"669" -58.955894470215 -13.1097078202725
"670" -57.955894470215 -13.1097078202725
"671" -56.955894470215 -13.1097078202725
"672" -59.8267024279235 -15.9380363123751
"674" -59.8815916681686 -15.1147224097226
"676" -59.9387842930778 -14.0997671082974
"677" -60.9424401452813 -13.0856015817053
"678" -59.955894470215 -13.1097078202725
"679" -60.955894470215 -12.1097078208691
"681" -61.8911277477223 -12.9985957696236
"682" -63.9499058135285 -12.0543108170161
"683" -62.9558936867999 -12.1097076668885
"684" -61.955894470215 -12.1097078208691
"685" -64.7359958739858 -11.8601996300121
"686" -59.955894470215 -12.1097078208691
"687" -58.955894470215 -12.1097078208691
"688" -60.955894470215 -11.1097078215356
"689" -59.955894470215 -11.1097078215356
"690" -58.955894470215 -11.1097078215356
"691" -60.955894470215 -10.1097078222691
"692" -59.955894470215 -10.1097078222691
"693" -58.955894470215 -10.1097078222691
"694" -60.955894470215 -9.10970782306581
"695" -59.955894470215 -9.10970782306582
"696" -64.8968911095692 -11.0989605672128
"697" -67.052009117196 -9.90887023824681
"699" -64.9041029464301 -10.1122100167807
"700" -65.955894470215 -9.10970782306582
"701" -64.955894470215 -9.10970782306581
"702" -63.955894470215 -9.10970782306582
"703" -65.955894470215 -8.10970782392162
"704" -64.955894470215 -8.10970782392162
"705" -63.955894470215 -8.10970782392161
"706" -54.955894470215 -14.109707819748
"707" -55.955894470215 -13.1097078202725
"708" -54.955894470215 -13.1097078202725
"709" -53.955894470215 -13.1097078202725
"710" -55.955894470215 -12.1097078208691
"711" -54.955894470215 -12.1097078208691
"712" -53.955894470215 -12.1097078208691
"713" -54.955894470215 -11.1097078215356
"714" -53.955894470215 -11.1097078215356
"715" -54.955894470215 -10.1097078222691
"716" -51.955894470215 -14.109707819748
"717" -52.955894470215 -13.1097078202725
"718" -51.955894470215 -13.1097078202725
"719" -52.955894470215 -12.1097078208691
"720" -51.955894470215 -12.1097078208691
"721" -52.955894470215 -11.1097078215356
"722" -51.955894470215 -11.1097078215356
"723" -50.955894470215 -11.1097078215356
