"" "" "DR"
"359" -64.955894470215 -18.1097078183936 0.421665805208507
"360" -63.955894470215 -18.1097078183936 0.402338226863006
"361" -64.955894470215 -17.1097078186202 0.407909125077042
"362" -63.955894470215 -17.1097078186202 0.404493377460324
"363" -62.955894470215 -17.1097078186202 0.342384768115098
"364" -64.955894470215 -16.1097078189213 0.383316296438918
"365" -63.955894470215 -16.1097078189213 0.34938688426779
"366" -62.955894470215 -16.1097078189213 0.33210064698748
"367" -64.955894470215 -15.1097078192973 0.293508679536778
"368" -63.955894470215 -15.1097078192973 0.314306307446261
"369" -67.955894470215 -17.1097078186202 0.363465894242655
"370" -66.955894470215 -17.1097078186202 0.395774657489856
"371" -65.955894470215 -17.1097078186202 0.411187507774338
"372" -67.955894470215 -16.1097078189213 0.382957818075156
"373" -66.955894470215 -16.1097078189213 0.383030787201777
"374" -65.955894470215 -16.1097078189213 0.421931372744835
"375" -67.955894470215 -15.1097078192973 0.384589469346338
"376" -66.955894470215 -15.1097078192973 0.31872994479745
"377" -65.955894470215 -15.1097078192973 0.302168042248136
"378" -67.955894470215 -14.109707819748 0.306883542049693
"379" -60.0814294056032 -16.2780184842781 0.300237307045616
"380" -61.955894470215 -15.1097078192973 0.307618561369018
"381" -60.9587287436782 -15.1094501673714 0.304489821205718
"382" -61.955894470215 -14.109707819748 0.307618561369018
"383" -60.9753201442779 -14.1333997835626 0.304489821205718
"384" -62.955894470215 -15.1097078192973 0.301975074835193
"385" -64.955894470215 -14.109707819748 0.283282099927632
"386" -63.955894470215 -14.109707819748 0.29954287869648
"387" -62.955894470215 -14.109707819748 0.292544486016603
"388" -63.955894470215 -13.1097078202725 0.27148444724926
"389" -63.012818418174 -13.2119582415425 0.265942241769188
"390" -66.955894470215 -14.109707819748 0.309634552523571
"391" -65.955894470215 -14.109707819748 0.283282099927632
"392" -66.955894470215 -13.1097078202725 0.303980441736525
"393" -65.955894470215 -13.1097078202725 0.294170454648018
"394" -64.955894470215 -13.1097078202725 0.29954287869648
"395" -66.955894470215 -12.1097078208691 0.308550367080381
"396" -65.955894470215 -12.1097078208691 0.266694500185583
"397" -65.0544198681816 -12.2223564537027 0.27023519393655
"398" -66.955894470215 -11.1097078215356 0.298223718345299
"399" -65.955894470215 -11.1097078215356 0.277788785728779
"400" -66.8429296484352 -10.3417851025158 0.308543007012079
"401" -65.9465521516969 -10.203346999583 0.279219365300969
"402" -45.0191620074356 -23.0245329195042 0.392633580612285
"403" -43.9495258650033 -22.8072139430558 0.39871279727316
"404" -42.0020273807929 -22.0559866638127 0.348208451334494
"405" -42.9580251037684 -22.791374503872 0.348208451334494
"406" -44.955894470215 -22.109707818201 0.377759732468721
"407" -43.955894470215 -22.109707818201 0.385109456051121
"408" -42.955894470215 -22.109707818201 0.338282330233552
"409" -43.955894470215 -21.1097078181466 0.33000610142462
"410" -42.955894470215 -21.1097078181466 0.338282330233552
"411" -41.955894470215 -21.1097078181466 0.384366582655924
"412" -43.955894470215 -20.1097078181588 0.328802360127559
"413" -42.955894470215 -20.1097078181588 0.361225810646849
"414" -41.955894470215 -20.1097078181588 0.377532302067826
"415" -69.9847335339812 -10.8001916468885 0.296384107414492
"416" -68.9163142152991 -10.8177791382132 0.296384107414492
"417" -69.955894470215 -10.1097078222691 0.295697470114409
"418" -68.955894470215 -10.1097078222691 0.296384107414492
"419" -71.2150273298662 -9.76278943542112 0.295697470114409
"420" -72.7703990537719 -9.00906029065325 0.295697470114409
"421" -71.9477925980175 -9.10148492905039 0.295697470114409
"422" -67.9639017915146 -10.1012286545568 0.308543007012079
"423" -69.955894470215 -9.10970782306581 0.295697470114409
"424" -68.955894470215 -9.10970782306582 0.295697470114409
"425" -67.955894470215 -9.10970782306581 0.285330749253172
"426" -66.955894470215 -9.10970782306581 0.282613913344519
"427" -68.955894470215 -8.10970782392162 0.291887819259475
"428" -67.955894470215 -8.10970782392162 0.283039339995979
"429" -66.955894470215 -8.10970782392161 0.282613913344519
"430" -68.955894470215 -7.10970782483165 0.290402771433507
"431" -67.955894470215 -7.10970782483164 0.290402771433507
"432" -70.9639087767309 -9.09969884570231 0.295697470114409
"433" -72.9467701555272 -8.10147226732439 0.295697470114409
"434" -71.955894470215 -8.10970782392162 0.295697470114409
"435" -70.955894470215 -8.10970782392161 0.295697470114409
"436" -69.955894470215 -8.10970782392162 0.295697470114409
"437" -72.9543971049285 -7.11115559088226 0.295697470114409
"438" -71.955894470215 -7.10970782483165 0.294288745488713
"439" -70.955894470215 -7.10970782483164 0.290825409893765
"440" -69.955894470215 -7.10970782483165 0.290402771433507
"441" -72.8062042807106 -6.13089132717043 0.290825409893765
"442" -52.9982165146641 -33.0692193920217 0.388898075352074
"443" -54.89915118706 -30.9887689038459 0.340670002581722
"444" -56.8776488492695 -29.9507663638331 0.396954441085963
"445" -55.9452272968824 -30.0988806573051 0.382296506727408
"446" -54.955894470215 -30.1097078205548 0.390757776775078
"447" -55.9199063836016 -29.1437959341415 0.387451517772371
"448" -53.7865062242553 -31.8898816886937 0.388898075352074
"449" -52.9528815683658 -32.1067631772834 0.456448218089957
"450" -52.3148541694859 -32.0104457604383 0.479596714270697
"451" -53.955894470215 -31.1097078210178 0.426222655983836
"452" -52.955894470215 -31.1097078210178 0.392047105667338
"453" -52.0255745667513 -31.034184784052 0.4072365465205
"454" -53.955894470215 -30.1097078205548 0.45449973606636
"455" -52.955894470215 -30.1097078205548 0.407722830610677
"456" -51.955894470215 -30.1097078205548 0.392080511190636
"457" -50.9559350878837 -30.0266585628428 0.401437615563029
"458" -50.0119640012414 -29.0595354287428 0.381683602552254
"459" -54.955894470215 -29.1097078201175 0.451950646030603
"460" -53.955894470215 -29.1097078201175 0.405389114179451
"461" -54.9053008998977 -28.1731375845171 0.41967186678656
"462" -53.955894470215 -28.109707819711 0.400828756308742
"463" -53.7927797259519 -27.2594000622725 0.414879352457292
"464" -52.955894470215 -27.1097078193406 0.414879352457292
"465" -52.955894470215 -29.1097078201175 0.405717882154666
"466" -51.955894470215 -29.1097078201175 0.3924553056447
"467" -50.955894470215 -29.1097078201175 0.3924553056447
"468" -52.955894470215 -28.109707819711 0.407479717752802
"469" -51.955894470215 -28.109707819711 0.410207019021203
"470" -50.955894470215 -28.109707819711 0.402535831368014
"471" -51.955894470215 -27.1097078193406 0.405102674865429
"472" -50.955894470215 -27.1097078193406 0.415215598957452
"473" -49.955894470215 -27.1097078193406 0.391727333782083
"474" -51.955894470215 -26.1097078190113 0.405871924485228
"475" -49.955894470215 -28.109707819711 0.404519951310498
"476" -49.059329098711 -28.0896326115238 0.404519951310498
"477" -49.0315687397178 -27.1182909462121 0.396761338722285
"478" -49.0134441559452 -26.0924398963774 0.387378206003629
"479" -50.955894470215 -26.1097078190113 0.392026124684779
"480" -49.955894470215 -26.1097078190113 0.393256779804191
"481" -50.955894470215 -25.1097078187281 0.38156153680606
"482" -49.955894470215 -25.1097078187281 0.381307938523488
"483" -48.9620461503149 -25.1033753969532 0.392771758203043
"484" -50.955894470215 -24.1097078184957 0.344192400189495
"485" -49.955894470215 -24.1097078184957 0.343242403963492
"486" -48.955894470215 -24.1097078184957 0.35094275053239
"487" -50.955894470215 -23.1097078183186 0.339943926936379
"488" -49.955894470215 -23.1097078183186 0.339912643234358
"489" -52.955894470215 -26.1097078190113 0.405871924485228
"490" -53.9398166491331 -25.1128034594936 0.394930221346275
"491" -52.955894470215 -25.1097078187281 0.389694408164592
"492" -51.955894470215 -25.1097078187281 0.4001918999811
"493" -53.9109002468015 -24.0916694957293 0.397386913248931
"494" -52.955894470215 -24.1097078184957 0.346147342532696
"495" -51.955894470215 -24.1097078184957 0.346147342532696
